#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:PterosaurSmall" spec="sa.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:PterosaurSmall" lower="35.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="150.0">70.0</parameter>
#            <parameter id="diversificationRateFBD.t:PterosaurSmall" lower="0.0" name="diversificationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="turnoverFBD.t:PterosaurSmall" lower="0.0" name="turnover" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:PterosaurSmall" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:PterosaurSmall" lower="0.0" name="removalProbability" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:PterosaurSmall" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <tree id="Tree.t:PterosaurSmall" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:PterosaurSmall" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="Austriadactylus cristatus=216.65,Austriadraco dallavecchiai=216.65,Caelestiventus hanseni=208.8,Carniadactylus rosenfeldi=217.25,Dromomeron gigas=210.35,Dromomeron gregorii=225.5,Dromomeron romeri=209.75,Eudimorphodon ranzii=217.25,Faxinalipterus minimus=225.42,Ixalerpeton polesinensis=233.23,Kongonaphon kely=238.25,Lagerpeton chanarensis=235,Maehary bonapartei=225.42,Pachagnathus benitoi=210.35,Peteinosaurus zambellii=217.25,Preondactylus buffarinii=216.8,PVSJ 883=229.35,Raeticodactylus filisurensis=212.25,Scleromochlus taylori=230.48,Seazzadactylus venieri=217.4,Yelaphomte praderioi=210.35">
#                    <taxa id="TaxonSet.PterosaurSmall" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.PterosaurSmall"/>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:PterosaurSmall" name="distribution">
#            <parameter id="clockRate.c:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:PterosaurSmall" name="distribution" x="@diversificationRateFBD.t:PterosaurSmall">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:PterosaurSmall" name="distribution">
#            <parameter id="gammaShape.s:PterosaurSmall" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="originPriorFBD.t:PterosaurSmall" name="distribution" x="@originFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.3" lower="35.0" name="distr" upper="150.0"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:PterosaurSmall" name="distribution">
#            <parameter id="proportionInvariant.s:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:PterosaurSmall" name="distribution" x="@samplingProportionFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:PterosaurSmall" name="distribution" x="@turnoverFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@PterosaurSmall" id="treeLikelihood.PterosaurSmall" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:PterosaurSmall">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:PterosaurSmall" proportionInvariant="@proportionInvariant.s:PterosaurSmall" shape="@gammaShape.s:PterosaurSmall" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:PterosaurSmall" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="LewisMK.s:PterosaurSmall" spec="morphmodels.evolution.substitutionmodel.LewisMK" stateNumber="7"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:PterosaurSmall" id="StrictClock.c:PterosaurSmall" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	mutationRate	proportionInvariant	gammaShape	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
0	-4550.051061922992	-4297.225964854442	-252.82509706854907	-4297.225964854442	30.784462373246374	46.33112776522538	1.0	1.0	0.0	1.0	-239.28275003317987	1.0	0.5	0.5	70.0	0
1000	-2944.2691428215244	-2850.8651971888476	-93.40394563267662	-2850.8651971888476	31.39962806572866	63.55743010695778	0.02831962714048308	1.0	0.0	1.0	-86.65415262665229	0.09376442704522005	0.8364067921164855	0.14082810155085893	39.75390970179496	2
2000	-2905.8566505495246	-2809.8621733236596	-95.9944772258649	-2809.8621733236596	33.612556179209776	79.01135574568565	0.016860904420063837	1.0	0.0	1.0	-89.23876035307715	0.0871098946945719	0.8734273745004321	0.11160174572517846	35.507347539664416	2
3000	-2896.5540681928387	-2793.6244440179435	-102.92962417489528	-2793.6244440179435	32.27945125801115	87.42409536688169	0.016860904420063837	1.0	0.0	1.0	-96.12144555259181	0.13930712343634857	0.8051793417173518	0.10696354511846769	38.3114490131664	4
4000	-2890.612581767697	-2790.922126444686	-99.690455323011	-2790.922126444686	34.86501494188805	79.81353106192914	0.016860904420063837	1.0	0.0	1.0	-92.77359314769801	0.17021163380592166	0.799943007798975	0.1474662867853033	35.196792961173465	1
5000	-2873.9902848464426	-2766.426668250993	-107.56361659544987	-2766.426668250993	35.60612456529055	109.92129018632636	0.009785248305427019	1.0	0.0	1.0	-100.81350744346364	0.09111422297825043	0.8194198808914017	0.10024902424109129	36.021150466450266	4
6000	-2883.671987342828	-2764.0464985854483	-119.62548875737963	-2764.0464985854483	40.43017275077576	140.01958165043615	0.009785248305427019	1.0	0.0	1.0	-112.86077880029741	0.08184214550586852	0.7667389705754086	0.09343711820241175	42.661306610453245	2
7000	-2878.964115142153	-2757.4600436437427	-121.50407149841028	-2757.4600436437427	41.95874762359065	153.9942021742265	0.008483389395879377	1.0	0.0	1.0	-114.66544485285962	0.06286236564131206	0.8271922955984914	0.11998167637722519	42.8217807874219	1
8000	-2878.55021313251	-2754.463828520996	-124.08638461151463	-2754.463828520996	41.0624314665812	158.43485995378816	0.008483389395879377	1.0	0.0	1.0	-117.3084294271659	0.07673089122211066	0.7999405930732605	0.1169303267104831	46.30671816440215	1
9000	-2880.86985334689	-2758.0386049766316	-122.83124837025852	-2758.0386049766316	40.43198395367698	159.57116948131238	0.008483389395879377	1.0	0.0	1.0	-116.08127352940939	0.0911184540863917	0.8734930228000816	0.032845672614099514	46.28992106352895	2
10000	-2872.9932843312145	-2753.737659940662	-119.25562439055257	-2753.737659940662	40.79072352569894	145.6341122841203	0.008483389395879377	1.0	0.0	1.0	-112.16224698739671	0.037999208780269494	0.929013742468398	0.06456076880680632	50.7848736110141	1
11000	-2874.087641634198	-2755.970191766473	-118.11744986772503	-2755.970191766473	38.70133768653703	145.5069149651235	0.008483389395879377	1.0	0.0	1.0	-111.34121144291343	0.07730622354451701	0.8431491057077207	0.07408758258353171	39.24683425410594	1
12000	-2879.281741923289	-2752.749632398924	-126.53210952436484	-2752.749632398924	43.081451425162236	167.64023562466022	0.008483389395879377	1.0	0.0	1.0	-119.78254669143223	0.09155276241887096	0.7421051882644484	0.10237304305358673	44.847185182775625	1
13000	-2869.7645704956653	-2753.05293835855	-116.71163213711529	-2753.05293835855	38.673963682660165	129.75751427753536	0.008483389395879377	1.0	0.0	1.5443985709464136	-109.40617425538873	0.08352264490704492	0.9164601591002001	0.041598051987055684	43.87269684215894	2
14000	-2874.19384468157	-2759.2018039780614	-114.99204070350885	-2759.2018039780614	39.303478887271886	133.8589430736171	0.008483389395879377	1.0	0.0	1.5443985709464136	-107.69473916390072	0.08853479194374153	0.8728059725010546	0.05124247302563192	39.384261282611874	2
15000	-2869.774009022731	-2751.8852106762647	-117.88879834646666	-2751.8852106762647	43.79960373003189	145.62696292401571	0.008483389395879377	1.0	0.0	1.5443985709464136	-110.2564247825416	0.03833265912905892	0.898243154176917	0.06866113692335844	46.685984005149145	4
16000	-2878.08251453642	-2755.7571064964172	-122.32540804000284	-2755.7571064964172	43.121274202196105	162.57342159289843	0.008483389395879377	1.0	0.0	1.5443985709464136	-114.68812836117694	0.03802964550631663	0.8614453489599712	0.13799933695833463	45.41382775588512	3
17000	-2875.623181653132	-2753.2301954448553	-122.39298620827704	-2753.2301954448553	41.03790756631465	162.89251018920402	0.008483389395879377	1.0	0.0	1.5443985709464136	-114.95372819481857	0.054848666635145364	0.8855956940424077	0.056650772315578926	46.42953703143322	3
18000	-2875.7881700360904	-2754.192649083701	-121.59552095238972	-2754.192649083701	39.02827221345914	141.7289069199028	0.008548831623319982	1.0	0.0	1.5443985709464136	-114.19869800741698	0.06063662346489165	0.8030169421387958	0.0955729683229964	53.779340150308336	3
19000	-2873.5334180621076	-2756.9512131131996	-116.58220494890776	-2756.9512131131996	36.48910943171453	127.64222110407772	0.008548831623319982	1.0	0.0	1.5443985709464136	-109.22540482090847	0.06779861993765651	0.8248603408605683	0.09392031762125033	43.351364476127856	2
20000	-2874.184988935416	-2758.659325743809	-115.52566319160714	-2758.659325743809	39.677784172606664	134.44280505585934	0.008548831623319982	1.0	0.0	1.5443985709464136	-107.81714234517705	0.034024451970435056	0.9189143289885134	0.09739711989046818	45.124342351901724	3
21000	-2866.4711939347226	-2750.0953965307535	-116.37579740396889	-2750.0953965307535	41.47061928812675	141.65556945254306	0.008548831623319982	1.0	0.0	1.5443985709464136	-108.80170045897621	0.042261303645269546	0.8184549602387192	0.19757390565588442	41.4748347913597	5
