taxon max_age min_age
Dromomeron_romeri 36.5 35.4
Arcticodactylus_cromptonellus 38.2 31
Dromomeron_romeri 31 28.5
Dromomeron_romeri 31 28.5
Dromomeron_romeri 28.3 26.9
Dromomeron_romeri 28.3 26.9
Dromomeron_gigas 33.5 24.8
Pachagnathus_benitoi 33.5 24.8
Yelaphomte_praderioi 33.5 24.8
Dromomeron_romeri 28.5 24.5
Raeticodactylus_filisurensis 31 23.5
Caviramus_schesaplanensis 31 23.5
Caelestiventus_hanseni 38.2 23.2
Austriadraco_dallavecchiai 24 21.7
Austriadactylus_cristatus 24 21.7
Austriadactylus_cristatus 24 21.7
Preondactylus_buffarinii 23.7 21.7
Preondactylus_buffarinii 23.7 21.7
Peteinosaurus_zambelli 23.2 21.3
Eudimorphodon_ranzii 23.2 21.3
Carniadactylus_rosenfeldi 23.5 21
Seazzadactylus_venieri 23.7 20.5
Dromomeron_gregorii 20.27 20.05
Faxinalipterus_minimus 14.45 13.71
Maehary_bonapartei 14.45 13.71
Dromomeron_gregorii 14.5 13.5
Dromomeron_romeri 14.5 13.5
Dromomeron_gregorii 31 12.5
Dromomeron_gregorii 24.5 12.5
PVSJ_883 12.5 7.80000000000001
Scleromochlus_taylori 12.5 5.53999999999999
Ixalerpeton_polesinensis 7 5.53999999999999
Lagerpeton_chanarensis 6.19999999999999 2.80000000000001
Lagerpeton_chanarensis 6.19999999999999 2.80000000000001
Lagerpeton_chanarensis 6.19999999999999 2.80000000000001
Lagerpeton_chanarensis 6.19999999999999 2.80000000000001
Lagerpeton_chanarensis 6.19999999999999 2.80000000000001
Kongonaphon_kely 2.5 0
