taxon
Petrolacosaurus kansensis
Acerosodontosaurus piveteaui
Youngina capensis
Paliguana whitei
Planocephalosaurus robinsonae
Gephyrosaurus bridensis
Cteniogenys sp
Simoedosaurus lemoinei
Aenigmastropheus parringtoni
Protorosaurus speneri
Dinocephalosaurus orientalis
Amotosaurus rotfeldensis
Macrocnemus bassanii
Macrocnemus obristi
Macrocnemus fuyuanensis
Fuyuansaurus acutirostris
Pectodens zhenyuensis
Augustaburiania vatagini
Protanystropheus antiquus
Trachelosaurus fischeri
Tanystropheus longobardicus
Tanystropheus haasi
Langobadisaurus pandolfii
Tanytrachelos ahynis
Jesairosaurus lehmani
Pamelaria dolichotrachela
Azendohsaurus madagaskarensis
Azendohsaurus laaroussi
Shringasaurus indicus
Malerisaurus robinsonae
Trilophosaurus buettneri
Spinosuchus caseanus
Teraterpeton hrynewichorum
Arctosaurus osborni
Noteosuchus colletti
Mesosuchus browni
Howesia browni
Eohyosaurus wolvaardti
Rhynchosaurus articeps
Bentonyx sidensis
Mesodapedon kuttyi
Ammorhynchus navajoi
Stenaulorhynchus stockleyi
Brasinorhynchus mariantensis
Chanares rhynchosaur
Langeronyx brodiei
Fodonyx spenceri
Isalorhynchus genovefae
Hyperodapedon gordoni
Hyperodapedon huxleyi
Teyumbaita sulcognathus
Eorasaurus olsoni
Prolacertoides jimusarensis
Prolacerta broomi
K australiensis combined
Boreopricea funerea
Teyujagua paradoxa
Antarctanax shackletoni
Archosaurus rossicus holotype
Archosaurus complete
Proterosuchus fergusi
Proterosuchus goweri
Proterosuchus alexanderi
Chasmatosaurus yuani
Panchet proterosuchid
Tasmaniosaurus triassicus
Vonhuenia fredericki
C rossicus combined
C magnus combined
Chasmatosuchus vjushkovi
Koilamasuchus gonzalezdiazi
Kalisuchus rewanensis holotype
NMQR 3570
Fugusuchus hejiapanensis
Sarmatosuchus otschevi
Guchengosuchus shiguaiensis
Cuyosuchus huenei
Garjainia prima
Garjainia madiba combined
Erythrosuchus africanus
Shansisuchus shansisuchus
Shansisuchus kuyeheensis
Chalishevia cothurnata
Youngosuchus sinensis
Uralosaurus combined
Vancleavea campi
Litorosuchus somnii
Asperoris mnyama
Euparkeria capensis
Dorosuchus neoetus
Halazhaisuchus qiaoensis
Osmolskina czatkoviensis
Osmolskina complete
Yarasuchus deccanensis
Dongusuchus efremovi
Teleocrater rhadinus
Spondylosoma absconditum
Proterochampsa barrionuevoi
Proterochampsa nodosa
Tropidosuchus romeri
Cerritosaurus binsfeldi
Gualosuchus reigi
Chanaresuchus bonapartei
Pseudochampsa ischigualastensis
Rhadinosuchus gracilis
Archeopelta arborensis
Tarjadia ruthae
Pagosvenator candelariensis
Erpetosuchus granti
Erpetosuchus sp
Dyoplax arenaceus
Jaxtasuchus salomoni
Doswellia kaltenbachi
Triopticus primus
Parasuchus angustifrons
Parasuchus hislopi
Nicrosaurus kapffi
Smilosuchus spp.
Diandongosuchus fuyuanensis
Wannia scurriensis
Ebrachosuchus neukami
Paleorhinus sawini
Angistorhinus talainti
Mystriosuchus planirostris
Machaeroprosopus pristinus
Redondasaurus spp
Ornithosuchus woodwardi
Riojasuchus tenuisceps
Venaticosuchus rusconii
Dynamosuchus collisensis
Nundasuchus songeaensis
Turfanosuchus dabanensis
Gracilisuchus stipanicicorum
Yonghesuchus sangbiensis
Parringtonia gracilis
Otter sandstone archosaur
Aetosauroides scagliai
Aetosaurus ferratus
Stagonolepis robertsoni
Ticinosuchus ferox
Prestosuchus nyassicus
Dagasuchus santacruzensis
Qianosuchus mixtus
Arizonasaurus babbitti
Lotosaurus adentus
Ctenosauriscus koeneni
Hypselorhachis mirabilis
Waldhaus poposauroid
Vytshegdosuchus zbeshartensis
Bystrowisuchus flerovi
Bromsgroveia walkeri
Xilousuchus sapingensis
Moenkopi poposauroid
Mandasuchus tanyauchen
Luperosuchus fractus
Decuriasuchus quartacolonia
Batrachotomus kupferzellensis
Prestosuchus chiniquensis
Austriadraco dallavecchiai
Preondactylus buffarinii
Austriadactylus cristatus
Seazzadactylus venieri
Raeticodactylus filisurensis
Carniadactylus rosenfeldi
Peteinosaurus zambellii
Caelestiventus hanseni
Dimorphodon macronyx
Eudimorphodon ranzii
Rhamphorhynchus muensteri
Cacibupteryx caribensis
Allkaruen koi
Lagerpeton chanarensis
Ixalerpeton polesinensis
Kongonaphon kely
PVSJ 883
Dromomeron romeri
Dromomeron gregorii
Dromomeron gigas
Lagosuchus talampayensis
Lutungutali sitwensis
Asilisaurus kongwe
Nyasasaurus parringtoni
Lewisuchus admixtus
Silesaurus opolensis
Heterodontosaurus tucki
Lesothosaurus diagnosticus
Herrerasaurus ischigualastensis
Eoraptor lunensis
Buriolestes schultzi
Saturnalia tupiniquim
Tawa hallae
Coelophysis bauri
Megapnosaurus rhodesiensis
Scleromochlus taylori i
Scleromochlus taylori ii
Scleromochlus taylori iii
Scleromochlus taylori noankle
