Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	turnover
0	-295.5409	-31.46503	-264.0758	0.1535264	-0.07552396	0.07953509	0.1175051	0	42.88567	0.004011129	23.5	24.8	24.8	12.5	21.7	21.3	21	21.3	13.71	13.71	2.8	5.54	5.54	7.8	21.7	20.5	21.7	23.5	24.8	13.5	31	23.2	19.8286
10	-200.1111	-31.46503	-168.646	0.1231057	-0.01270592	0.04647128	0.07405966	11	42.24411	0.03376536	28.7513	32.8699	24.8	12.5357	21.7	21.3	21	21.3	13.71	13.71	2.8	5.54	9.92846	7.8	21.7	20.5	21.7	23.5	24.8	17.1844	31.2358	33.3305	1.3763
20	-192.7386	-31.46503	-161.2736	0.3402948	-0.03940154	0.1169668	0.08589274	11	42.25458	0.07756528	28.7513	32.7491	24.8	12.5357	22.6976	22.2334	21	21.3	13.71	13.71	2.8	6.06139	10.3782	7.8	21.7	20.5	21.7	23.5	24.8	19.2827	31.2358	32.771	1.507979
30	-177.783	-31.46503	-146.3179	0.1880964	0.05024063	0.07555728	0.1117886	14	41.62853	0.1257979	29.5817	28.7333	26.1818	16.8621	22.6976	22.2334	21	21.3	14.0418	13.71	2.8	6.06139	11.338	11.6637	21.7	20.5	22.2022	30.9374	25.2858	20.616	33.463	33.7848	0.6006243
40	-175.876	-31.46503	-144.4109	0.1441142	0.02121262	0.08775811	0.2847643	16	41.39046	0.1089707	29.9489	32.2221	26.1818	17.35	22.787	22.2334	21	21.3	14.0418	13.71	2.8	6.06139	11.338	11.6637	22.5869	20.5	22.1267	29.705	27.0363	20.616	33.463	32.6645	0.8053365
50	-169.3499	-31.46503	-137.8848	0.2609976	0.002402085	0.1205834	0.2133329	16	41.48336	0.1229855	25.9301	28.4852	26.1818	17.35	22.787	21.5936	21	21.3	14.0418	13.71	4.87816	6.06139	11.338	10.2502	22.4745	20.5	22.0668	28.8407	27.0363	20.616	33.463	32.5459	0.9804685
60	-163.0569	-31.46503	-131.5918	0.1719272	-0.02100671	0.0920274	0.1843625	16	40.66676	0.0710207	27.4192	25.0632	26.1818	19.4031	21.9074	21.5936	21	21.4023	14.0418	13.71	4.95954	6.06139	11.3599	10.2502	22.2559	20.5	22.0668	26.9981	27.0925	19.4236	32.9572	28.1104	1.295783
70	-172.9717	-31.46503	-141.5067	0.04063923	0.046306	0.05765123	0.1642457	14	41.01741	0.1039572	27.4192	25.8215	26.1818	16.619	21.9074	21.5936	21.6001	21.4029	14.0418	13.71	5.78215	6.06139	6.76247	10.2502	21.8251	20.5	21.9543	23.8475	28.308	19.4236	32.9572	28.6193	0.5545668
80	-169.1487	-31.46503	-137.6836	0.04064625	-0.006609079	0.1094693	0.1291616	14	39.72251	0.1028602	26.9291	27.2794	26.1818	16.2593	23.9036	21.5936	21.6001	21.6248	14.0418	13.71	5.35416	6.06139	8.54906	10.6364	23.1852	23.3632	21.984	24.1975	26.9096	20.3517	32.9572	27.3253	1.064253
90	-176.8885	-31.46503	-145.4235	0.04354239	0.00213602	0.1542396	0.1354098	12	38.82507	0.1563756	26.3823	27.9741	26.1818	15.1918	23.9036	21.5936	21.6001	21.6658	13.7771	13.71	5.77363	6.06139	10.509	10.6364	23.1852	23.3632	21.984	24.941	26.9096	20.3517	32.9572	27.2097	0.9863405
